Meta Data,Technical Analysis: RSI
,{'RSI': '35.5572'}
,{'RSI': '22.1303'}
,{'RSI': '22.5274'}
,{'RSI': '26.4957'}
,{'RSI': '28.1589'}
,{'RSI': '34.0270'}
,{'RSI': '35.5202'}
,{'RSI': '42.0327'}
,{'RSI': '47.7490'}
,{'RSI': '46.4197'}
,{'RSI': '39.8037'}
,{'RSI': '34.9872'}
,{'RSI': '42.7471'}
,{'RSI': '49.2466'}
,{'RSI': '52.0041'}
,{'RSI': '53.3039'}
,{'RSI': '42.7424'}
,{'RSI': '39.5406'}
,{'RSI': '42.8421'}
,{'RSI': '37.8888'}
,{'RSI': '29.5398'}
,{'RSI': '27.9961'}
,{'RSI': '22.1877'}
,{'RSI': '25.6281'}
,{'RSI': '19.6806'}
,{'RSI': '24.4949'}
,{'RSI': '18.2871'}
,{'RSI': '19.0046'}
,{'RSI': '19.5286'}
,{'RSI': '21.3101'}
,{'RSI': '26.4298'}
,{'RSI': '28.6004'}
,{'RSI': '26.6570'}
,{'RSI': '34.6547'}
,{'RSI': '34.0579'}
,{'RSI': '34.0579'}
,{'RSI': '28.8843'}
,{'RSI': '31.7744'}
,{'RSI': '30.2030'}
,{'RSI': '40.2617'}
,{'RSI': '35.5368'}
,{'RSI': '39.3370'}
,{'RSI': '40.0987'}
,{'RSI': '55.7825'}
,{'RSI': '57.8004'}
,{'RSI': '52.4463'}
,{'RSI': '39.8728'}
,{'RSI': '46.4971'}
,{'RSI': '51.1165'}
,{'RSI': '56.7436'}
,{'RSI': '61.1108'}
,{'RSI': '57.5707'}
,{'RSI': '56.8367'}
,{'RSI': '46.8278'}
,{'RSI': '51.9648'}
,{'RSI': '52.5412'}
,{'RSI': '58.4605'}
,{'RSI': '66.0008'}
,{'RSI': '66.4831'}
,{'RSI': '72.3870'}
,{'RSI': '73.7173'}
,{'RSI': '70.5121'}
,{'RSI': '71.4497'}
,{'RSI': '69.4914'}
,{'RSI': '70.2262'}
,{'RSI': '62.3870'}
,{'RSI': '51.6657'}
,{'RSI': '58.0594'}
,{'RSI': '64.9662'}
,{'RSI': '61.0987'}
,{'RSI': '49.5264'}
,{'RSI': '46.8379'}
,{'RSI': '46.8379'}
,{'RSI': '50.7677'}
,{'RSI': '46.6750'}
,{'RSI': '50.5154'}
,{'RSI': '48.7066'}
,{'RSI': '42.8121'}
,{'RSI': '49.3872'}
,{'RSI': '52.8270'}
,{'RSI': '49.1954'}
,{'RSI': '59.5404'}
,{'RSI': '55.8495'}
,{'RSI': '56.2989'}
,{'RSI': '53.1484'}
,{'RSI': '55.7646'}
,{'RSI': '45.5513'}
,{'RSI': '48.4341'}
,{'RSI': '43.6477'}
,{'RSI': '54.0616'}
,{'RSI': '49.3444'}
,{'RSI': '44.6504'}
,{'RSI': '40.5846'}
,{'RSI': '37.7555'}
,{'RSI': '45.5128'}
,{'RSI': '43.0454'}
,{'RSI': '37.0369'}
,{'RSI': '37.4442'}
,{'RSI': '44.7782'}
,{'RSI': '39.5048'}
,{'RSI': '43.0394'}
,{'RSI': '49.5860'}
,{'RSI': '52.7621'}
,{'RSI': '44.3243'}
,{'RSI': '38.2998'}
,{'RSI': '41.3066'}
,{'RSI': '55.0876'}
,{'RSI': '57.1847'}
,{'RSI': '52.0508'}
,{'RSI': '50.4465'}
,{'RSI': '54.0256'}
,{'RSI': '50.2209'}
,{'RSI': '54.8208'}
,{'RSI': '50.3611'}
,{'RSI': '54.3966'}
,{'RSI': '69.5731'}
,{'RSI': '68.1020'}
,{'RSI': '65.3912'}
,{'RSI': '65.6391'}
,{'RSI': '56.0867'}
,{'RSI': '56.7549'}
,{'RSI': '43.2708'}
,{'RSI': '42.7879'}
,{'RSI': '48.0828'}
,{'RSI': '48.9359'}
,{'RSI': '45.0353'}
,{'RSI': '43.1292'}
,{'RSI': '49.3265'}
,{'RSI': '47.4658'}
,{'RSI': '40.5687'}
,{'RSI': '49.2846'}
,{'RSI': '54.6629'}
,{'RSI': '54.3510'}
,{'RSI': '54.3510'}
,{'RSI': '59.0837'}
,{'RSI': '51.3212'}
,{'RSI': '54.4605'}
,{'RSI': '55.5049'}
,{'RSI': '45.1214'}
,{'RSI': '48.7536'}
,{'RSI': '52.1736'}
,{'RSI': '56.4910'}
,{'RSI': '55.6875'}
,{'RSI': '44.1503'}
,{'RSI': '50.5882'}
,{'RSI': '50.9064'}
,{'RSI': '61.0403'}
,{'RSI': '63.6764'}
,{'RSI': '70.7042'}
,{'RSI': '62.8510'}
,{'RSI': '67.5644'}
,{'RSI': '69.5698'}
,{'RSI': '86.3316'}
,{'RSI': '82.5633'}
,{'RSI': '77.1392'}
,{'RSI': '72.9847'}
,{'RSI': '72.5531'}
,{'RSI': '77.6923'}
,{'RSI': '77.6717'}
,{'RSI': '87.3400'}
,{'RSI': '82.5678'}
